센터명,수량
서대문 정담은 푸드마켓 1호점,10
서대문 정담은 푸드마켓 1호점,38
서대문 정담은 푸드마켓 1호점,77
서대문 정담은 푸드마켓 1호점,28
서대문 정담은 푸드마켓 1호점,79
서대문 정담은 푸드마켓 1호점,168
서대문 정담은 푸드마켓 1호점,60
서대문 정담은 푸드마켓 1호점,9
서대문 정담은 푸드마켓 1호점,39
서대문 정담은 푸드마켓 2호점,270
서대문 정담은 푸드마켓 2호점,1330
서대문 정담은 푸드마켓 2호점,60
서대문 정담은 푸드마켓 2호점,27
서대문 정담은 푸드마켓 2호점,45
서대문 정담은 푸드마켓 2호점,27
서대문 정담은 푸드마켓 2호점,89
서대문 정담은 푸드마켓 2호점,113
서대문 정담은 푸드마켓 2호점,119
서대문 정담은 푸드마켓 2호점,27
마포 행복나눔 기초푸드마켓1호점,126
마포 행복나눔 기초푸드마켓1호점,27
마포 행복나눔 기초푸드마켓1호점,27
마포 행복나눔 기초푸드마켓1호점,359
마포 행복나눔 기초푸드마켓1호점,598
마포 행복나눔 기초푸드마켓1호점,550
마포 행복나눔 기초푸드마켓2호점,12
마포 행복나눔 기초푸드마켓2호점,28
마포 행복나눔 기초푸드마켓2호점,79
마포 행복나눔 기초푸드마켓2호점,199
마포 행복나눔 기초푸드마켓2호점,53
양천구 푸드뱅크마켓센터 1호점,660
양천구 푸드뱅크마켓센터 1호점,7786
양천구 푸드뱅크마켓센터 1호점,127
양천구 푸드뱅크마켓센터 1호점,162
양천구 푸드뱅크마켓센터 1호점,18420
양천구 푸드뱅크마켓센터 1호점,69
양천구 푸드뱅크마켓센터 1호점,68
양천구 푸드뱅크마켓센터 1호점,219
양천구 푸드뱅크마켓센터 1호점,255
양천구 푸드뱅크마켓센터 1호점,192
양천구 푸드뱅크마켓센터 1호점,735
강서 푸드뱅크마켓,117
강서 푸드뱅크마켓,30
강서 푸드뱅크마켓,30
강서 푸드뱅크마켓,66
강서 푸드뱅크마켓,22
강서 푸드뱅크마켓,10
구로구 푸드뱅크마켓센터,331
구로구 푸드뱅크마켓센터,904
구로구 푸드뱅크마켓센터,145
구로구 푸드뱅크마켓센터,155
구로구 푸드뱅크마켓센터,293
구로구 푸드뱅크마켓센터,36
구로구 푸드뱅크마켓센터,234
구로구 푸드뱅크마켓센터,42
구로구 푸드뱅크마켓센터,189
구로구 푸드뱅크마켓센터,228
구로구 푸드뱅크마켓센터,163
구로구 푸드뱅크마켓센터,36
금천구 푸드뱅크마켓센터,1155
금천구 푸드뱅크마켓센터,115
금천구 푸드뱅크마켓센터,219
금천구 푸드뱅크마켓센터,8
금천구 푸드뱅크마켓센터,232
금천구 푸드뱅크마켓센터,499
금천구 푸드뱅크마켓센터,687
금천구 푸드뱅크마켓센터,380
금천구 푸드뱅크마켓센터,41
금천구 푸드뱅크마켓센터,558
영등포구 푸드뱅크마켓 1호점,1123
영등포구 푸드뱅크마켓 1호점,928
영등포구 푸드뱅크마켓 1호점,176
영등포구 푸드뱅크마켓 1호점,551
영등포구 푸드뱅크마켓 1호점,379
영등포구 푸드뱅크마켓 1호점,289
영등포구 푸드뱅크마켓 1호점,271
